round,error1,error2,error3,error4,error5,error6,error7,error8,error9,error10
81,0.0825405053,2.5110793807,0.0073948049,0.4954646897,0.1909352818,0.0272238569,1.8306217416,2.1445840873,0.0001584478,1.7997973606
82,0.0838344428,2.5537143423,0.018019361,0.5544502389,0.256178439,0.0570040118,1.8585289296,2.1516477075,0.0034852653,1.8523471429
83,0.0713881114,2.5581272745,0.0286470828,0.5467508609,0.2410504483,0.0497806756,1.8610240167,2.1449268969,0.002058822,1.866911761
84,0.0726727839,2.5745303409,0.0408737014,0.5439047158,0.2259179642,0.0557510921,1.8683794568,2.1367115573,0.0043674668,1.8848574598
85,0.0705476809,2.5855492054,0.0347057944,0.5433452214,0.2297017237,0.0588142886,1.8624056462,2.1392518688,0.0009912947,1.8929256545
86,0.0705170431,2.5954726909,0.033828151,0.5438988569,0.2280706979,0.0593846618,1.880758283,2.1390522007,0.0009004338,1.9160162818
87,0.0719738337,2.6037729032,0.0336980467,0.5273258926,0.217638393,0.0644222014,1.9035290731,2.1397696527,0.0071972937,1.9263834208
88,0.0694634443,2.6131965187,0.0272015295,0.528730086,0.2147727364,0.0644493343,1.9132603367,2.1414274954,0.0099873235,1.9345925506
89,0.0519434914,0.3624729639,0.0123159605,0.010640487,0.5513945337,0.0058834348,0.3522814042,1.9245721124,0.0157791099,1.6820292309
90,0.0698984106,0.3252795867,0.0078964524,0.0108586484,0.5458214484,0.002038156,0.2977050203,1.9375294914,0.012515723,1.7294519399
91,0.0669158459,0.2847949963,0.015241683,0.0532086208,0.6150336794,0.0066650311,0.2467743193,1.9570826777,0.0151922058,1.7686696511
92,0.0741752342,0.2520943899,0.0226577505,0.0948427356,0.6875607513,0.0181004484,0.2207977053,1.9803802459,0.0120416848,1.8106554618
93,0.0600116553,0.2406221292,0.0326111017,0.3571201397,0.6643054566,0.0063904979,0.2112036497,1.9829711829,0.0084451177,1.8229572789
94,0.0593916847,0.2100401825,0.0451657549,0.2978422051,0.6592398887,0.0098714063,0.1882717529,1.9802346017,0.0084489579,1.8503296404
95,0.0637585039,0.1978818507,0.0424267389,0.2641363036,0.6636552115,0.0204642571,0.1845533178,1.986016365,0.0096809811,1.8683387761
96,0.0631491335,0.1853518099,0.0991930701,0.2217822341,0.6664983282,0.0192683404,0.1658510241,1.9868160712,0.0051820763,1.8906528751
97,0.0638723537,0.175412353,0.2318711766,0.2018040995,0.6521389245,0.0211419022,0.1368897771,1.9953850776,0.0092906163,1.9059499131
98,0.0740661456,0.1587108605,0.2181028388,0.1784326205,0.6520300124,0.0562952722,0.12781419,2.0000467334,0.0095912344,1.9012107422
99,0.0723826244,0.1012318152,0.1887434241,0.2057411713,0.1592646973,0.025206932,0.1120668274,1.8664635949,2.0681881936,0.4062042883
100,0.0569932925,0.0972380851,0.1734186493,0.1854706451,0.1461185195,0.0158813647,0.0979358698,1.8525979822,2.0649700422,0.3772650103
101,0.0664401854,0.0961078567,0.1581647946,0.1540494456,0.1956478079,0.0170263173,0.0814966735,1.9059806369,2.073930222,0.3150324641
102,0.0697711516,0.0713506067,0.1451578677,0.0990130629,0.2759868536,0.1076957333,0.061317521,1.9175892394,2.0762837315,0.2931970913
103,0.048881051,0.0793143555,0.1342627877,0.5588733442,0.2425687707,0.1167438478,0.0789603327,1.7690297844,2.0674804657,0.2781067384
104,0.0476281323,0.0709949949,0.1092544113,0.4467380957,0.2839156378,0.0948971467,0.0834424035,1.5110576361,2.0681485073,0.24639263
105,0.0614848446,0.056555416,0.0877887281,0.3876123342,0.2853056032,0.0579045542,0.1179592514,1.554497906,2.0671395493,0.2284316541
106,0.058174167,0.0951006629,0.4050500166,0.3310870383,0.2738227157,0.0470877027,0.1129034803,1.6061351868,2.0668517286,0.2054934806
107,0.0287265223,0.0933785342,0.3726711102,0.3370966805,0.2626699439,0.0306830563,0.0981355614,1.6778805692,2.0743587067,0.180617664
108,0.0502630891,0.0786676562,0.3488211574,0.3011377166,0.2531184024,0.2651019166,0.0959400486,1.7219203749,2.0743701081,0.1720593357
109,0.052149697,0.0077645873,0.2313957624,0.18377545,0.2037757028,0.2221535241,0.0221841407,1.4954157209,2.5028374222,0.0633472922
110,4.1603829288,0.0046340784,0.2082944741,0.1570670253,0.1865827856,0.1835586079,0.0204525366,1.5759168458,2.497278961,0.0537841476
111,4.1631037312,0.0135048717,0.1900067953,0.0781654204,0.2276248568,0.1626679774,0.008146928,1.7117137772,2.5075866329,0.039091894
112,4.1739985266,0.0222272206,0.1770416265,0.0204682083,0.2966995149,0.3147657337,0.0031961591,1.7556066964,2.493787963,0.0318543669
113,4.1508371804,0.0065031388,0.1661312758,0.4469849752,0.2643341891,0.3096467954,0.0203736629,1.4123916418,2.4801059524,0.0412754071
