round,AVG RTT,AVG distance
166,2.126313746,0.8718133437
167,1.6058832407,0.8222270204
168,2.1498724818,0.935324982
169,0.8084438741,0.8784845061
170,1.4721751213,0.8358157473
171,1.4234296978,0.9036392228
172,2.0486526191,0.8600916905
173,1.4128759503,0.8413475583
174,1.6430467367,0.9511421339
175,1.5641488135,0.8869827621
176,2.0736418664,0.8433653795
177,1.3525746763,0.8893986113
178,2.1420754492,0.8671394036
179,1.6084499657,0.8635085246
180,2.1745935082,0.9608287548
181,0.8340738714,0.9106857007
182,1.4971345663,0.8925599383
183,1.4873147011,0.9698391936
184,2.0534470677,0.904082453
185,1.4227293432,0.9229104024
186,1.6065016389,1.0186538413
187,1.5554577112,0.962888929
188,2.1167472005,0.9597178202
189,1.3872385025,1.0349417447
190,2.1935254335,0.9866592108
191,1.6838386655,0.9970812414
192,2.1715722978,1.0524671752
193,0.8544884622,1.0363220501
194,3.1094029546,0.9996210156
195,3.1025744975,1.0646532701
196,3.6662295461,0.9871394103
197,1.3887733221,0.992720376
198,1.7013214529,1.0126111989
199,1.6962960362,0.947098585
200,2.2329464555,0.9779716506
201,1.4243200421,1.0000773451
202,2.4420879781,0.941963359
203,1.8356069922,0.9970998849
204,2.3605599999,1.1060531049
205,0.8075535297,0.9146895687
206,1.4795400202,0.9986873368
207,1.4663413167,1.002870034
208,1.9934102893,0.9501815133
209,1.3445913792,1.0130538991
210,1.5585683286,1.0779382733
211,1.6038268805,0.9626815696
212,2.2299550474,1.0099410342
213,1.4949738979,1.111097474
214,2.1079517901,1.0592031423
215,1.4629513025,1.0389892294
216,2.0175240934,1.1325377191
217,0.8279308677,1.0618890548
218,1.7526373267,1.0463873548
219,1.7292313278,1.154255088
220,2.2857226431,1.0811366708
221,1.4531388879,1.069084337
222,4.2422227562,1.2122428864
223,4.2343996465,1.1081511591
224,4.7100782394,1.0675984385
225,1.4094114304,1.2084255782
226,2.1396428347,1.1271399986
227,1.5688948333,1.0778844872
228,2.0979978144,1.1779491173
229,0.8032247424,1.0923223463
230,1.5978850424,1.0768229474
231,1.5857331455,1.1717263994
232,2.1137371659,1.1186171542
233,1.3596713543,1.1065101042
234,1.4465600252,1.2096671078
235,1.4251172543,1.120515075
236,2.0078122616,1.111521243
237,1.4746338129,1.2040080683
238,2.5210529566,1.1337473694
239,1.8930248916,1.1343633061
240,2.3096352816,1.1849242936
